City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,Nishihara,JP,26.1842,127.7558,83.86,89,20,11.5,few clouds
147,Laguna,US,38.421,-121.4238,90.95,46,0,8.05,clear sky
148,Hasaki,JP,35.7333,140.8333,77.29,90,31,18.41,scattered clouds
149,Fort Nelson,CA,58.8053,-122.7002,67.28,43,12,2.73,few clouds
150,Togur,RU,58.3631,82.8265,55.24,97,100,14.18,light rain
151,Hambantota,LK,6.1241,81.1185,79.57,81,98,19.95,overcast clouds
152,Korla,CN,41.7597,86.1469,85.53,19,0,4.18,clear sky
153,Manadhoo,MV,5.7667,73.3833,80.73,80,100,14.32,overcast clouds
154,Moyale,KE,3.5167,39.0584,73.44,43,99,14.09,overcast clouds
155,Nyuksenitsa,RU,60.4128,44.2397,68.43,80,80,3.87,broken clouds
156,New Norfolk,AU,-42.7826,147.0587,49.5,82,99,2.37,overcast clouds
157,Murfreesboro,US,35.8456,-86.3903,95.65,60,0,3.44,clear sky
158,Romny,UA,50.751,33.4747,63.86,84,55,9.15,light rain
159,Northam,GB,51.0333,-4.2167,66.38,65,12,14.38,few clouds
160,Cap Malheureux,MU,-19.9842,57.6142,71.47,70,45,7.0,scattered clouds
161,Serebryanyy Bor,RU,56.8,124.8,60.46,87,43,3.87,scattered clouds
162,Khatanga,RU,71.9667,102.5,45.77,83,100,14.14,overcast clouds
163,Ukiah,US,39.1502,-123.2078,88.43,36,0,1.01,clear sky
164,Port Elizabeth,ZA,-33.918,25.5701,62.31,60,0,5.75,clear sky
165,Williams Lake,CA,52.1415,-122.1445,73.45,39,8,2.71,clear sky
166,East London,ZA,-33.0153,27.9116,65.34,68,0,5.75,clear sky
167,Carnarvon,AU,-24.8667,113.6333,64.13,65,0,15.48,clear sky
168,Magole,TZ,-6.3667,37.3667,72.19,56,97,1.7,overcast clouds
169,Bjornevatn,NO,69.6672,29.9847,60.42,63,40,8.05,scattered clouds
170,Nemuro,JP,43.3236,145.575,59.68,92,100,6.98,overcast clouds
171,Olinda,BR,-8.0089,-34.8553,80.33,65,75,14.97,broken clouds
172,Uruacu,BR,-14.5247,-49.1408,90.79,19,0,4.34,clear sky
173,Bunda,TZ,-2.05,33.8667,77.54,41,87,1.32,overcast clouds
174,Khandagayty,RU,50.7333,92.05,57.36,69,73,0.4,broken clouds
175,Tuatapere,NZ,-46.1333,167.6833,37.49,93,47,3.87,scattered clouds
176,Saurimo,AO,-9.6608,20.3916,77.09,25,79,4.45,broken clouds
177,Hobart,AU,-42.8794,147.3294,49.86,76,75,8.05,broken clouds
178,Jiwani,PK,25.05,61.7417,83.17,81,97,12.46,overcast clouds
179,Talnakh,RU,69.4865,88.3972,65.21,62,74,5.53,broken clouds
180,Lidkoping,SE,58.5052,13.1577,66.42,81,100,10.25,overcast clouds
181,Hamilton,US,39.1834,-84.5333,91.74,60,1,8.01,clear sky
182,Paita,PE,-5.0892,-81.1144,68.68,72,4,10.22,clear sky
183,Kapit,MY,2.0167,112.9333,73.4,99,96,1.59,overcast clouds
184,Qingdao,CN,36.0986,120.3719,78.39,80,99,4.34,moderate rain
185,Nikolskoye,RU,59.7035,30.7861,82.29,54,35,3.2,scattered clouds
186,Sault Sainte Marie,CA,46.5168,-84.3333,77.59,48,77,8.32,broken clouds
187,Valparaiso,CL,-33.0393,-71.6273,61.32,62,2,9.33,clear sky
188,Tiksi,RU,71.6872,128.8694,43.27,82,52,5.64,broken clouds
189,Grand Gaube,MU,-20.0064,57.6608,71.38,70,45,7.0,scattered clouds
190,Twin Falls,US,42.3505,-114.6445,90.93,8,0,12.01,clear sky
191,Goderich,CA,43.7501,-81.7165,75.9,75,0,6.71,clear sky
192,Eyl,SO,7.9803,49.8164,77.94,78,99,26.33,overcast clouds
193,Paamiut,GL,61.994,-49.6678,47.16,80,7,5.66,clear sky
194,La Palma,US,33.8464,-118.0467,81.52,74,39,3.0,scattered clouds
195,Sinnamary,GF,5.3833,-52.95,83.16,71,14,6.85,few clouds
196,Marawi,PH,7.9986,124.2928,69.48,94,95,2.46,overcast clouds
197,Mariel,CU,22.9875,-82.7536,86.25,64,40,8.25,light rain
198,Saskylakh,RU,71.9167,114.0833,47.5,73,100,6.64,overcast clouds
199,Salina,US,38.8403,-97.6114,96.93,42,0,13.8,clear sky
200,Zhengjiatun,CN,43.5064,123.5064,71.35,85,84,2.86,broken clouds
201,Liverpool,GB,53.4106,-2.9779,68.14,85,100,6.91,overcast clouds
202,Guane,CU,22.2025,-84.0875,91.11,51,25,8.05,scattered clouds
203,Komsomolskiy,UZ,40.4272,71.7189,88.52,35,0,6.91,clear sky
204,Neuquen,AR,-38.9516,-68.0591,49.87,63,100,8.46,moderate rain
205,Teguldet,RU,57.3064,88.1667,57.51,98,95,6.46,overcast clouds
206,Iqaluit,CA,63.7506,-68.5145,45.7,81,76,5.01,broken clouds
207,Benjamin Aceval,PY,-24.9667,-57.5667,86.14,27,98,11.43,overcast clouds
208,Maragogi,BR,-9.0122,-35.2225,78.26,78,79,11.27,broken clouds
209,North Bend,US,43.4065,-124.2243,65.25,95,97,8.88,overcast clouds
210,Camacha,PT,33.0833,-16.3333,71.02,64,75,17.27,broken clouds
211,Torbay,CA,47.6666,-52.7314,78.89,68,97,3.0,overcast clouds
