City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
443,Korcula,HR,80.78,overcast clouds,42.9622,17.1369,Marko Polo Hotel by Aminess
447,The Valley,AI,87.66,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
450,Tambacounda,SN,82.15,scattered clouds,13.7539,-13.7586,
451,Touros,BR,77.7,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
456,North Bend,US,82.24,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
463,Morant Bay,JM,76.62,moderate rain,17.8815,-76.4093,Whispering Bamboo Cove Resort
467,Bow Island,CA,76.26,broken clouds,49.8668,-111.3684,Silver Sage Motel
468,Tahta,EG,88.18,clear sky,26.7693,31.5021,فندق الزيات
469,Yanam,IN,77.92,broken clouds,16.7333,82.2167,The Regency Hotel
470,Sabang,ID,80.8,heavy intensity rain,5.8933,95.3214,Hotel Citra
475,Zhanaozen,KZ,76.73,clear sky,43.3,52.8,K.korabay 28A
477,Nazca,PE,75.09,broken clouds,-14.8333,-74.95,Casa Andina Standard Nasca
479,Riachao Das Neves,BR,77.07,scattered clouds,-11.7461,-44.91,Casa Costa
480,Marzuq,YE,77.63,light rain,14.4,46.4667,
482,Vanimo,PG,76.96,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
484,Santa Marta,CO,84.25,scattered clouds,11.2408,-74.199,Hotel La Ballena Azul
485,Bose,IT,80.19,few clouds,45.4612,8.0137,Locanda Borgo Antico
487,Buluang,PH,78.31,broken clouds,13.3068,123.3425,Sacueza Beach Resort
489,Marathon,US,79.84,clear sky,44.9,-89.7668,
491,Iberia,US,88.05,light rain,29.9502,-91.7507,back to back rv park
494,Hamilton,US,76.98,haze,39.1834,-84.5333,Six Acres Bed & Breakfast
495,Puerto Leguizamo,CO,78.08,light rain,-0.1934,-74.7819,la casona de juancho
497,Sarangani,PH,82.62,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
500,Traverse City,US,82.47,broken clouds,44.7631,-85.6206,Bayshore Resort
501,Roma,US,77.38,few clouds,43.2128,-75.4557,Wingate By Wyndham Rome
508,Annau,TM,83.7,broken clouds,37.8876,58.516,"Гостиница ""Уссат инженер"""
516,Banda Aceh,ID,77.52,moderate rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
521,Imuris,MX,81.82,overcast clouds,30.7833,-110.8667,Hotel del Toro Hereford
525,Beruwala,LK,77.05,overcast clouds,6.4788,79.9828,The Palms Hotel
526,North Platte,US,85.32,broken clouds,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
527,Nicoya,CR,82.98,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
529,Kalmunai,LK,80.01,overcast clouds,7.4167,81.8167,VS Villa
532,Margahayu,ID,76.26,overcast clouds,-6.4264,105.8646,Kharisma Beach Resort Labuan
535,Gasa,PS,78.73,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
536,Bandarbeyla,SO,75.99,scattered clouds,9.4942,50.8122,JABIR HOTEL
537,Srivardhan,IN,78.89,moderate rain,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
538,Sorong,ID,76.1,moderate rain,-0.8833,131.25,Waigo Splash Hotel
542,Tiarei,PF,80.01,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
546,Minamata,JP,77.45,clear sky,32.2167,130.4,スーパーホテル水俣
547,Guerrero Negro,MX,82.81,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
549,Cumana,VE,81.43,overcast clouds,10.4635,-64.1775,Posada Acuarela Los Roques
550,Acapulco,MX,87.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
